"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"23.05.2025","41.932,27","42.768,90","42.836,00","41.310,50","847,33M","-1,83%"
"22.05.2025","42.712,54","42.821,81","42.830,57","42.513,96","619,70M","-0,69%"
"21.05.2025","43.010,46","42.962,61","43.081,04","42.747,69","620,57M","0,09%"
"20.05.2025","42.972,57","42.771,41","42.972,60","42.592,26","600,98M","0,89%"
"19.05.2025","42.592,15","42.426,67","42.592,15","42.236,81","598,39M","-1,16%"
"16.05.2025","43.090,11","42.970,82","43.147,76","42.902,79","747,28M","0,58%"
"15.05.2025","42.839,86","42.615,66","42.839,86","42.490,15","697,04M","0,15%"
"14.05.2025","42.775,16","42.519,33","42.775,16","42.395,41","663,05M","0,65%"
"13.05.2025","42.498,02","42.318,97","42.513,11","42.290,79","685,24M","0,41%"
"12.05.2025","42.323,03","42.347,59","42.605,78","42.030,90","950,14M","1,35%"
"09.05.2025","41.759,14","41.567,68","41.873,52","41.515,57","826,78M","1,03%"
"08.05.2025","41.334,90","40.835,16","41.345,75","40.795,07","1,03B","1,63%"
"07.05.2025","40.672,13","40.881,40","41.039,85","40.616,13","516,98M","-0,61%"
"06.05.2025","40.922,85","40.942,31","40.990,15","40.435,36","646,66M","0,21%"
"05.05.2025","40.836,34","40.658,89","40.861,98","40.515,62","398,04M","0,40%"
"02.05.2025","40.673,36","40.371,93","40.687,90","40.228,01","594,24M","1,91%"
"30.04.2025","39.909,61","40.316,97","40.418,72","39.424,63","736,10M","-0,63%"
"29.04.2025","40.160,81","39.902,09","40.180,71","39.863,53","600,35M","1,10%"
"28.04.2025","39.723,02","39.796,61","39.972,15","39.689,31","496,06M","0,37%"
"25.04.2025","39.577,84","39.280,33","39.595,09","39.102,58","540,86M","1,43%"
"24.04.2025","39.021,07","38.620,07","39.066,31","38.580,52","618,26M","0,95%"
"23.04.2025","38.655,06","38.547,54","38.724,97","38.412,85","719,37M","1,44%"
"22.04.2025","38.106,40","37.895,34","38.106,40","37.648,04","611,70M","-0,08%"
"17.04.2025","38.135,93","38.208,22","38.288,51","37.961,58","507,18M","-0,26%"
"16.04.2025","38.234,70","37.725,95","38.234,70","37.484,19","719,56M","0,58%"
"15.04.2025","38.014,42","37.334,43","38.059,06","37.334,43","698,41M","2,33%"
"14.04.2025","37.147,94","36.767,03","37.253,44","36.697,26","732,35M","2,85%"
"11.04.2025","36.120,05","36.727,06","36.775,02","35.661,93","545,85M","-0,71%"
"10.04.2025","36.377,50","34.913,21","37.553,14","34.883,27","1,05B","4,63%"
"09.04.2025","34.769,23","34.675,25","35.197,24","34.238,54","818,59M","-2,75%"
"08.04.2025","35.751,58","35.422,66","36.159,26","34.727,45","962,80M","2,50%"
"07.04.2025","34.878,77","36.220,67","36.427,67","33.905,52","1,50B","-5,00%"
"04.04.2025","36.716,28","38.808,17","38.839,83","36.143,67","1,60B","-6,44%"
"03.04.2025","39.245,26","39.839,76","40.146,38","39.194,57","1,00B","-3,51%"
"02.04.2025","40.672,01","40.649,55","40.771,37","40.236,38","630,20M","-0,25%"
"01.04.2025","40.774,11","40.471,13","40.839,90","40.382,30","765,82M","1,26%"
"31.03.2025","40.267,08","40.675,57","40.675,57","40.083,45","854,38M","-1,76%"
"28.03.2025","40.986,95","41.289,64","41.347,35","40.887,60","858,16M","-0,90%"
"27.03.2025","41.357,65","40.960,13","41.452,28","40.690,21","1,20B","0,07%"
"26.03.2025","41.327,40","41.839,39","41.881,08","41.307,02","695,71M","-0,79%"
"25.03.2025","41.657,55","41.351,58","41.772,62","41.341,44","720,07M","1,03%"
"24.03.2025","41.233,22","41.532,22","41.633,01","41.141,00","811,95M","-0,16%"
"21.03.2025","41.297,51","41.255,45","41.499,31","41.127,60","910,84M","-0,41%"
"20.03.2025","41.466,12","42.064,37","42.108,68","41.206,74","636,65M","-1,28%"
"19.03.2025","42.003,70","41.712,52","42.040,40","41.672,06","513,18M","0,43%"
"18.03.2025","41.824,82","41.477,99","41.873,85","41.460,77","866,88M","1,24%"
"17.03.2025","41.314,22","40.979,31","41.348,86","40.881,90","633,76M","0,94%"
"14.03.2025","40.930,38","40.214,77","40.934,41","40.051,06","1,06B","1,71%"
"13.03.2025","40.243,93","40.342,45","40.626,70","40.103,96","638,70M","-0,74%"
"12.03.2025","40.543,15","40.230,00","40.612,68","40.190,87","469,64M","1,59%"
"11.03.2025","39.910,01","40.565,77","40.598,40","39.747,72","614,14M","-1,33%"
"10.03.2025","40.446,84","41.066,59","41.129,62","40.344,34","597,20M","-0,95%"
"07.03.2025","40.834,15","40.810,63","41.021,86","40.546,51","650,90M","-0,46%"
"06.03.2025","41.024,59","41.063,66","41.184,88","40.589,61","758,62M","0,65%"
"05.03.2025","40.759,16","40.482,82","40.998,45","40.385,39","718,18M","2,04%"
"04.03.2025","39.944,90","40.984,48","41.076,55","39.770,35","875,44M","-3,38%"
"03.03.2025","41.343,59","40.927,32","41.529,49","40.673,93","577,70M","1,04%"
"28.02.2025","40.918,67","40.692,06","40.952,33","40.591,93","714,30M","0,03%"
